"특성별(1)","특성별(2)","인식별(1)",시점,전혀 그렇지 않다 (%),그렇지 않은 편이다 (%),보통이다/그저 그렇다 (%),그런 편이다 (%),매우 그렇다 (%)
"전체","소계","나는 식품 가격의 오르고 내림에 민감하다",2021,1.2,11.0,41.6,43.3,2.8
"전체","소계","나는 가공식품 가격의 오르고 내림에 민감하다",2021,1.0,12.5,42.3,39.5,4.7
"전체","소계","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.4,6.8,36.1,49.1,6.6
"전체","소계","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.3,6.6,46.9,40.5,4.8
"가구원수별","1인","나는 식품 가격의 오르고 내림에 민감하다",2021,3.1,14.2,41.6,38.8,2.4
"가구원수별","1인","나는 가공식품 가격의 오르고 내림에 민감하다",2021,2.8,15.9,42.0,36.3,2.9
"가구원수별","1인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.8,7.3,39.7,45.5,5.7
"가구원수별","1인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.7,5.5,49.4,40.3,3.1
"가구원수별","2인","나는 식품 가격의 오르고 내림에 민감하다",2021,0.9,9.9,47.4,39.7,2.2
"가구원수별","2인","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.6,11.7,44.9,38.1,4.7
"가구원수별","2인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.1,7.3,35.8,49.8,6.0
"가구원수별","2인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,0.4,8.7,46.8,40.9,3.2
"가구원수별","3인","나는 식품 가격의 오르고 내림에 민감하다",2021,0.9,10.9,37.7,46.8,3.7
"가구원수별","3인","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.7,12.1,40.0,41.4,5.8
"가구원수별","3인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.7,5.9,36.2,49.4,6.7
"가구원수별","3인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.5,6.1,45.8,39.4,7.2
"가구원수별","4인 이상","나는 식품 가격의 오르고 내림에 민감하다",2021,0.0,9.2,38.1,49.4,3.3
"가구원수별","4인 이상","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.0,10.1,41.7,42.7,5.5
"가구원수별","4인 이상","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,0.9,6.6,32.3,51.9,8.2
"가구원수별","4인 이상","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.6,5.6,45.2,41.4,6.2
"가구주성별","남성","나는 식품 가격의 오르고 내림에 민감하다",2021,1.0,9.9,40.3,45.9,2.9
"가구주성별","남성","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.9,9.9,42.6,41.4,5.2
"가구주성별","남성","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.0,5.6,35.4,50.7,7.3
"가구주성별","남성","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.0,6.3,44.8,42.5,5.4
"가구주성별","여성","나는 식품 가격의 오르고 내림에 민감하다",2021,1.9,13.5,44.3,37.7,2.7
"가구주성별","여성","나는 가공식품 가격의 오르고 내림에 민감하다",2021,1.4,18.2,41.7,35.1,3.6
"가구주성별","여성","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,2.1,9.6,37.6,45.7,5.0
"가구주성별","여성","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.8,7.2,51.4,36.3,3.3
"가구주연령별","20대","나는 식품 가격의 오르고 내림에 민감하다",2021,1.2,12.3,39.2,42.7,4.6
