특성별(1),특성별(2),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),연도
전체,소계,0.6,3.4,19.3,15.2,9.9,6.3,45.4,109501,2019
가구원수별,1인,1.2,3.8,21.9,13.2,8.9,5.6,45.5,105856,2019
,2인,0.3,5.2,19.2,14.3,8.1,6.6,46.3,108269,2019
,3인,0.3,2.4,18,18.4,9.3,6.1,45.5,109738,2019
,4인,0.4,2,17.7,16.4,13.4,7.3,42.8,113396,2019
,5인 이상,0,4,15.5,0.4,10.1,0,69.9,138426,2019
가구주성별,남성,0.3,3,16.9,14.9,9.3,6.5,49.1,117741,2019
,여성,1.1,4.2,25.1,15.9,11.3,5.8,36.6,89910,2019
가구주연령별,20대,0,3.8,22.7,14.5,4.5,6.8,47.7,114872,2019
,30대,0.4,2.5,16.9,12.8,12.1,7.1,48.1,113877,2019
,40대,0.5,2,16.3,17.6,11.3,5.7,46.6,118641,2019
,50대,1,4.3,22.9,14.6,8,5.9,43.3,97507,2019
,60대 이상,1.6,10.6,27.9,23,7.9,3.8,25.1,67832,2019
